大类,指令,说明,,,,,,
无线 AC_AP 配置/高级功能,containment-profile name contain-rogu,反制配置,,,,,,
无线 AC_AP 配置/高级功能,rogue-ap contain enable,反制 AP,,,,,,
无线 AC_AP 配置/高级功能,ap-whitelist name trusted-ap,白名单配置,,,,,,
无线 AC_AP 配置/高级功能,ap-mac 00e0-fc12-3456,信任 AP,,,,,,
无线 AC_AP 配置/高级功能,sta-blacklist name blocked-sta,黑名单配置,,,,,,
无线 AC_AP 配置/高级功能,sta-mac 0011-2233-4455,禁止用户,,,,,,
无线 AC_AP 配置/高级功能,time-range work-time,时间调度,,,,,,
无线 AC_AP 配置/高级功能,periodic weekdays 8:00 to 18:00,执行 periodic weekdays 8:00 to 18:00 命令,,,,,,
无线 AC_AP 配置/高级功能,vap-profile time-vap,执行 vap-profile time-vap 命令,,,,,,
无线 AC_AP 配置/高级功能,enable time-range work-time,时间调度,,,,,,
无线 AC_AP 配置/高级功能,geo-fence enable,地理围栏,,,,,,
无线 AC_AP 配置/高级功能,latitude 39.9042,执行 latitude 39.9042 命令,,,,,,
无线 AC_AP 配置/高级功能,longitude 116.4074,执行 longitude 116.4074 命令,,,,,,
无线 AC_AP 配置/高级功能,radius 1000,地理围栏,,,,,,
负载均衡设备/F5 BIG-IP 基础配置,tmsh modify sys global-settings hostname lb01.company.com,修改主机名,,,,,,
负载均衡设备/F5 BIG-IP 基础配置,tmsh create net self 192.168.1.10/24 interface management,管理地址,,,,,,
负载均衡设备/F5 BIG-IP 基础配置,tmsh create net vlan internal interfaces add { 1.1 },配置 VLAN,,,,,,
负载均衡设备/F5 BIG-IP 基础配置,tmsh create net self 192.168.10.1/24 vlan internal,内网 VLAN,,,,,,
负载均衡设备/F5 BIG-IP 基础配置,tmsh modify sys global-settings default-route { 192.168.1.1 },默认路由,,,,,,
负载均衡设备/F5 BIG-IP 基础配置,tmsh modify sys dns name-servers add { 8.8.8.8 8.8.4.4 },DNS 服务器,,,,,,
负载均衡设备/F5 BIG-IP 基础配置,tmsh modify sys ntp servers add { 192.168.1.100 },NTP 服务器,,,,,,
负载均衡设备/F5 BIG-IP 基础配置,tmsh modify sys timezone timezone Asia/Shanghai,中国时区,,,,,,
负载均衡设备/F5 BIG-IP 基础配置,tmsh install sys license manual-key XXXXX-XXXXX-XXXXX-XXXXX-XXXXXXX,激活许可,,,,,,
负载均衡设备/F5 BIG-IP 基础配置,tmsh create auth user admin password admin123 partition-access add { all-partitions { role admin }},管理员,,,,,,
负载均衡设备/F5 BIG-IP 基础配置,tmsh save sys config,保存系统配置,,,,,,
负载均衡设备/池和成员配置,tmsh create ltm pool web-pool members add { 192.168.10.11:80 192.168.10.12:80 192.168.10.13:80 },Web 池,,,,,,
负载均衡设备/池和成员配置,tmsh modify ltm pool web-pool load-balancing-mode round-robin,轮询,,,,,,
负载均衡设备/池和成员配置,tmsh modify ltm pool web-pool load-balancing-mode least-connections-member,最少连接,,,,,,
负载均衡设备/池和成员配置,tmsh modify ltm pool web-pool load-balancing-mode fastest-app-response,最快响应,,,,,,
负载均衡设备/池和成员配置,tmsh modify ltm pool web-pool load-balancing-mode source-address-hash,源地址哈希,,,,,,
负载均衡设备/池和成员配置,tmsh modify ltm pool web-pool members add { 192.168.10.14:80 },添加成员,,,,,,
负载均衡设备/池和成员配置,tmsh modify ltm pool web-pool members delete { 192.168.10.13:80 },删除成员,,,,,,
负载均衡设备/池和成员配置,tmsh modify ltm pool web-pool members replace { 192.168.10.11:80 { session user-disabled } },禁用,,,,,,
负载均衡设备/池和成员配置,tmsh modify ltm pool web-pool members modify { 192.168.10.11:80 { priority 100 }},优先级,,,,,,
负载均衡设备/池和成员配置,tmsh modify ltm pool web-pool members modify { 192.168.10.11:80 { connection-limit 1000 }},连接限制,,,,,,
负载均衡设备/池和成员配置,tmsh modify ltm pool web-pool members modify { 192.168.10.11:80 { ratio 2 }},权重 2,,,,,,
负载均衡设备/池和成员配置,tmsh show ltm pool web-pool,显示池信息,,,,,,
负载均衡设备/池和成员配置,tmsh show ltm pool-members,成员统计,,,,,,
负载均衡设备/池和成员配置,watch tmsh show ltm pool web-pool stats,实时监控,,,,,,
负载均衡设备/池和成员配置,tmsh list ltm pool web-pool > /config/pool-config.txt,导出配置,,,,,,
负载均衡设备/虚拟服务器配置,tmsh create ltm virtual vs-web destination 203.0.113.10:80 pool web-pool,VS,,,,,,
负载均衡设备/虚拟服务器配置,tmsh create ltm virtual vs-https destination 203.0.113.10:443 pool web-pool,HTTPS,,,,,,
负载均衡设备/虚拟服务器配置,tmsh create ltm virtual vs-tcp destination 203.0.113.10:8080 pool app-pool profiles add { tcp },L4,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-web snatpool automap,自动 SNAT,,,,,,
负载均衡设备/虚拟服务器配置,tmsh create ltm snatpool snat-pool members add { 203.0.113.20 },指定 SNAT 地址,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-web snatpool snat-pool,SNAT 池,,,,,,
负载均衡设备/虚拟服务器配置,tmsh create ltm nat one-to-one translation-address 203.0.113.10 origin 192.168.10.11,静态 NAT,,,,,,
负载均衡设备/虚拟服务器配置,tmsh create ltm virtual vs-ssh destination 203.0.113.10:2222 pool ssh-pool,端口映射,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-web profiles add { http https },多协议,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-web persist replace-all-with { source_addr },源地址保持,,,,,,
负载均衡设备/虚拟服务器配置,tmsh create ltm persistence-profile cookie cookie-web insert true,Cookie 保持,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-web persist replace-all-with { cookie-web },Cookie,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-https profiles add { clientssl },SSL 终止,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-https profiles add { clientssl serverssl },SSL 桥接,,,,,,
负载均衡设备/虚拟服务器配置,tmsh create ltm virtual vs-http destination 203.0.113.10:80,HTTP 重定向,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-http destination 203.0.113.10:80 rules add { http_to_https },重定向,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-web rules add { custom-rule },应用规则,,,,,,
负载均衡设备/虚拟服务器配置,tmsh show ltm virtual vs-web,VS 信息,,,,,,
负载均衡设备/虚拟服务器配置,tmsh show ltm virtual vs-web stats,统计信息,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-web disabled,禁用 VS,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-web enabled,启用 VS,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-web source-address-translation-port 65535,端口限制,,,,,,
负载均衡设备/虚拟服务器配置,tmsh modify ltm virtual vs-web rate-limit 10000,每秒请求数,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor http http-monitor interval 5 timeout 16 recv HTTP" send "GET /\r\n"",HTTP,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor https https-monitor interval 5 timeout 16 recv 200 OK"",HTTPS,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor tcp tcp-monitor interval 5 timeout 16,TCP 监控,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor gateway-icmp icmp-monitor interval 5 timeout 16,Ping 监控,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor http custom-monitor interval 10 timeout 31 recv success" uri-path "/health"",自定义,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor http parent-mon defaults-from http,组合监控器,,,,,,
负载均衡设备/健康检查,tmsh modify ltm monitor http parent-mon recv success|ok"",多个成功标志,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor http post-monitor interval 5 send POST /check\r\nContent-Length: 0\r\n"",POST,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor http reverse-monitor interval 5 recv failed"",反向监控,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor script external-monitor interval 30 timeout 91 filename health_check.pl,外部脚本,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor ftp ftp-monitor interval 10 timeout 31 username anonymous,FTP,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor smtp smtp-monitor interval 5 recv 220"",SMTP,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor pop3 pop3-monitor interval 5 recv +OK"",POP3,,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor ldap ldap-monitor interval 5 base dc=company,dc=com"",LDAP,,,,,
负载均衡设备/健康检查,tmsh create ltm monitor mysql mysql-monitor interval 5 database mydb username monitor,MySQL,,,,,,
负载均衡设备/健康检查,tmsh modify ltm pool web-pool monitor http-monitor,应用监控,,,,,,
负载均衡设备/健康检查,tmsh modify ltm pool web-pool monitor use-pool-members,使用成员监控,,,,,,
负载均衡设备/健康检查,tmsh modify ltm monitor http-monitor timeout 31,超时时间,,,,,,
负载均衡设备/健康检查,tmsh modify ltm pool-member 192.168.10.11:80 monitor-force-up,强制上线,,,,,,
负载均衡设备/健康检查,tmsh show ltm monitor,监控器列表,,,,,,
负载均衡设备/健康检查,tmsh run ltm monitor test http-monitor pool web-pool,测试监控,,,,,,
负载均衡设备/配置文件,tmsh create ltm profile http http-profile insert-xforwarded-for enabled,X-Forwarded-For,,,,,,
负载均衡设备/配置文件,tmsh create ltm profile oneconnect oneconnect-profile,OneConnect 配置,,,,,,
负载均衡设备/配置文件,tmsh modify ltm virtual vs-web profiles add { oneconnect-profile },连接复用,,,,,,
负载均衡设备/配置文件,tmsh create ltm profile http-compression http-comp,HTTP 压缩,,,,,,
负载均衡设备/配置文件,tmsh modify ltm virtual vs-web profiles add { http-comp },启用压缩,,,,,,
负载均衡设备/配置文件,tmsh create ltm profile tcp tcp-optimized idle-timeout 300 nagle disabled,TCP 优化,,,,,,
负载均衡设备/配置文件,tmsh create ltm profile fastl4 fastl4-profile loose-close enabled,FastL4,,,,,,
负载均衡设备/配置文件,tmsh create ltm profile client-ssl client-ssl-profile cert-key-chain add { default { key server.key cert server.crt }},SSL,,,,,,
负载均衡设备/配置文件,tmsh create ltm profile server-ssl server-ssl-profile ssl-c3hs no-sslv2 no-tlsv1,后端 SSL,,,,,,
负载均衡设备/配置文件,tmsh create ltm profile client-ssl ssl-accel ciphers !aNULL:eNULL:@STRENGTH"",SSL 加速,,,,,,
负载均衡设备/配置文件,tmsh create ltm profile http2 http2-profile,HTTP/2,,,,,,
负载均衡设备/配置文件,tmsh create ltm profile websocket websocket-profile,WebSocket,,,,,,
负载均衡设备/iRule 配置,tmsh create ltm rule basic-rule {,基本 iRule,,,,,,
负载均衡设备/iRule 配置,when HTTP_REQUEST {,执行 when HTTP_REQUEST { 命令,,,,,,
负载均衡设备/iRule 配置,log local0. Client [IP::client_addr] requested [HTTP::uri]"",创建或添加资源,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},日志记录,,,,,,
负载均衡设备/iRule 配置,tmsh create ltm rule redirect-rule {,URL 重定向,,,,,,
负载均衡设备/iRule 配置,when HTTP_REQUEST {,执行 when HTTP_REQUEST { 命令,,,,,,
负载均衡设备/iRule 配置,if {[HTTP::uri] starts_with /old"} {",启动或启用功能,,,,,,
负载均衡设备/iRule 配置,HTTP::redirect https://[HTTP::host]/new"",执行 HTTP::redirect https://[HTTP::host]/new" 命令",,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},重定向,,,,,,
负载均衡设备/iRule 配置,tmsh create ltm rule path-routing {,基于路径的路由,,,,,,
负载均衡设备/iRule 配置,when HTTP_REQUEST {,执行 when HTTP_REQUEST { 命令,,,,,,
负载均衡设备/iRule 配置,switch -glob [HTTP::path] {,执行 switch -glob [HTTP::path] { 命令,,,,,,
负载均衡设备/iRule 配置,/api/*" { pool api-pool }",执行 /api/*" { pool api-pool } 命令",,,,,,
负载均衡设备/iRule 配置,/web/*" { pool web-pool }",执行 /web/*" { pool web-pool } 命令",,,,,,
负载均衡设备/iRule 配置,/app/*" { pool app-pool }",执行 /app/*" { pool app-pool } 命令",,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},路径路由,,,,,,
负载均衡设备/iRule 配置,tmsh create ltm rule vhost-routing {,基于域名的路由,,,,,,
负载均衡设备/iRule 配置,when HTTP_REQUEST {,执行 when HTTP_REQUEST { 命令,,,,,,
负载均衡设备/iRule 配置,switch -glob [HTTP::host] {,执行 switch -glob [HTTP::host] { 命令,,,,,,
负载均衡设备/iRule 配置,www.company.com" { pool www-pool }",执行 www.company.com" { pool www-pool } 命令",,,,,,
负载均衡设备/iRule 配置,mail.company.com" { pool mail-pool }",执行 mail.company.com" { pool mail-pool } 命令",,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},虚拟主机,,,,,,
负载均衡设备/iRule 配置,tmsh create ltm rule lb-method {,负载均衡方法切换,,,,,,
负载均衡设备/iRule 配置,when HTTP_REQUEST {,执行 when HTTP_REQUEST { 命令,,,,,,
负载均衡设备/iRule 配置,if {[HTTP::cookie exists VIP"]} {",执行 if {[HTTP::cookie exists VIP"]} { 命令",,,,,,
负载均衡设备/iRule 配置,pool vip-pool,执行 pool vip-pool 命令,,,,,,
负载均衡设备/iRule 配置,} else {,执行 } else { 命令,,,,,,
负载均衡设备/iRule 配置,pool standard-pool,执行 pool standard-pool 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},基于 Cookie,,,,,,
负载均衡设备/iRule 配置,tmsh create ltm rule rate-limit {,请求限流,,,,,,
负载均衡设备/iRule 配置,when HTTP_REQUEST {,执行 when HTTP_REQUEST { 命令,,,,,,
负载均衡设备/iRule 配置,set count [table lookup -subtable rate" [IP::client_addr]]",配置设备或系统参数,,,,,,
负载均衡设备/iRule 配置,if {$count > 100} {,执行 if {$count > 100} { 命令,,,,,,
负载均衡设备/iRule 配置,reject,执行 reject 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,table incr -subtable rate" [IP::client_addr] -expiry 60",创建或添加资源,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},限流,,,,,,
负载均衡设备/iRule 配置,tmsh create ltm rule response-modify {,响应修改,,,,,,
负载均衡设备/iRule 配置,when HTTP_RESPONSE {,执行 when HTTP_RESPONSE { 命令,,,,,,
负载均衡设备/iRule 配置,HTTP::header insert X-Powered-By BIG-IP"",执行 HTTP::header insert X-Powered-By BIG-IP" 命令",,,,,,
负载均衡设备/iRule 配置,HTTP::header remove Server,删除资源,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},修改响应头,,,,,,
负载均衡设备/iRule 配置,tmsh create ltm rule content-switching {,内容交换,,,,,,
负载均衡设备/iRule 配置,when HTTP_REQUEST {,执行 when HTTP_REQUEST { 命令,,,,,,
负载均衡设备/iRule 配置,if {[HTTP::header User-Agent"] contains "Mobile"} {",执行 if {[HTTP::header User-Agent"] contains "Mobile"} { 命令",,,,,,
负载均衡设备/iRule 配置,pool mobile-pool,执行 pool mobile-pool 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},移动检测,,,,,,
负载均衡设备/iRule 配置,tmsh create ltm rule ab-testing {,A/B 测试,,,,,,
负载均衡设备/iRule 配置,when HTTP_REQUEST {,执行 when HTTP_REQUEST { 命令,,,,,,
负载均衡设备/iRule 配置,if {[expr {int(rand() * 100)}] < 50} {,执行 if {[expr {int(rand() * 100)}] < 50} { 命令,,,,,,
负载均衡设备/iRule 配置,pool version-a,执行 pool version-a 命令,,,,,,
负载均衡设备/iRule 配置,} else {,执行 } else { 命令,,,,,,
负载均衡设备/iRule 配置,pool version-b,执行 pool version-b 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},A/B 测试,,,,,,
负载均衡设备/iRule 配置,tmsh create ltm rule ddos-protection {,DDoS 防护,,,,,,
负载均衡设备/iRule 配置,when HTTP_REQUEST {,执行 when HTTP_REQUEST { 命令,,,,,,
负载均衡设备/iRule 配置,if {[IP::clientside count] > 1000} {,执行 if {[IP::clientside count] > 1000} { 命令,,,,,,
负载均衡设备/iRule 配置,drop,执行 drop 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},执行 } 命令,,,,,,
负载均衡设备/iRule 配置,},DDoS 防护,,,,,,
负载均衡设备/高可用配置,tmsh create cm trust-domain RootCA username admin password admin123,信任域,,,,,,
负载均衡设备/高可用配置,tmsh create cm device-group ha-group type sync-failover devices add { bigip1 bigip2 },HA 组,,,,,,
负载均衡设备/高可用配置,tmsh create cm traffic-group traffic-group-1 units 1,流量组,,,,,,
负载均衡设备/高可用配置,tmsh create net self-floating 192.168.10.2/24 vlan internal traffic-group traffic-group-1,浮动 IP,,,,,,
负载均衡设备/高可用配置,tmsh run cm failover standby,切换到备用,,,,,,
负载均衡设备/高可用配置,tmsh run cm failover active,强制为主,,,,,,
负载均衡设备/高可用配置,tmsh show cm failover-status,HA 状态,,,,,,
负载均衡设备/高可用配置,tmsh run cm config-sync to-group ha-group,同步配置,,,,,,
负载均衡设备/高可用配置,tmsh modify cm device bigip1 configsync-ip 192.168.1.10 unicast-address 192.168.1.10,故障切换地址,,,,,,
负载均衡设备/高可用配置,tmsh modify cm device bigip1 mirror-ip 192.168.1.10,连接镜像,,,,,,
负载均衡设备/监控和报告,tmsh show ltm virtual stats,VS 统计,,,,,,
负载均衡设备/监控和报告,tmsh show sys connection,连接统计,,,,,,
负载均衡设备/监控和报告,tmsh show sys throughput,吞吐量,,,,,,
负载均衡设备/监控和报告,tmsh show sys memory,CPU 内存使用,,,,,,
负载均衡设备/监控和报告,tmsh show sys cpu,资源使用,,,,,,
负载均衡设备/监控和报告,tmsh show sys log-messages,系统日志,,,,,,
负载均衡设备/监控和报告,tmsh show sys audit-log,审计日志,,,,,,
负载均衡设备/监控和报告,tmsh create sys snmp community public,SNMP 配置,,,,,,
负载均衡设备/监控和报告,tmsh create sys snmp traps add { host 192.168.1.200 community public },SNMP,,,,,,
负载均衡设备/监控和报告,tmsh modify sys syslog remote-servers add { { host 192.168.1.200 local7 info }},Syslog,,,,,,
负载均衡设备/监控和报告,tmsh report generate performance-report start-time 20260101:00:00:00 end-time 20260107:23:59:59,周报,,,,,,
负载均衡设备/监控和报告,tmsh show ltm pool web-pool stats,池健康报告,,,,,,
负载均衡设备/高级功能,tmsh create ltm profile cache cache-profile,缓存配置,,,,,,
负载均衡设备/高级功能,tmsh modify ltm virtual vs-web profiles add { cache-profile },启用缓存,,,,,,
负载均衡设备/高级功能,tmsh create sys afm url-filter url-filter-profile categories add { gambling adult },URL 过滤,,,,,,
负载均衡设备/高级功能,tmsh create security waf policy waf-policy,WAF 配置,,,,,,
负载均衡设备/高级功能,tmsh modify ltm virtual vs-web profiles add { waf-policy },WAF,,,,,,
负载均衡设备/高级功能,tmsh create security dos profile dos-profile,DoS 防护,,,,,,
负载均衡设备/高级功能,tmsh modify ltm virtual vs-web profiles add { dos-profile },DoS 防护,,,,,,
负载均衡设备/高级功能,tmsh create ltm profile fasthttp fasthttp-profile,应用加速器,,,,,,
负载均衡设备/高级功能,tmsh modify ltm virtual vs-web profiles add { fasthttp-profile },加速,,,,,,
负载均衡设备/高级功能,tmsh create gtm wideip a www.company.com pools add { pool-datacenter1 pool-datacenter2 },GSLB,,,,,,
负载均衡设备/高级功能,tmsh create gtm datacenter dc1,数据中心配置,,,,,,
负载均衡设备/高级功能,tmsh create gtm server server1 datacenter dc1,数据中心,,,,,,
负载均衡设备/高级功能,tmsh create gtm monitor http gslb-monitor,健康监测（GSLB）,,,,,,
负载均衡设备/高级功能,tmsh modify gtm pool pool-datacenter1 monitor gslb-monitor,GSLB 监控,,,,,,
负载均衡设备/高级功能,tmsh create gtm wideip a topo-www topology topology-record,拓扑 DNS,,,,,,
负载均衡设备/高级功能,tmsh modify gtm pool pool-datacenter1 dynamic-ratio enabled,动态比率,,,,,,
路由器配置/基础配置,enable,从用户模式进入特权模式,,,,,,
路由器配置/基础配置,configure terminal,进入配置模式,,,,,,
路由器配置/基础配置,hostname R1,设置路由器名称为 R1,,,,,,
路由器配置/基础配置,enable secret cisco123,设置加密的特权密码,,,,,,
路由器配置/基础配置,line console 0,设置控制台密码,,,,,,
路由器配置/基础配置,password console123,执行 password console123 命令,,,,,,
路由器配置/基础配置,login,配置控制台登录,,,,,,
路由器配置/基础配置,line vty 0 4,设置远程登录密码,,,,,,
路由器配置/基础配置,password telnet123,执行 password telnet123 命令,,,,,,
路由器配置/基础配置,login,配置 Telnet 访问,,,,,,
路由器配置/基础配置,ip domain-name company.com,启用 SSH,,,,,,
路由器配置/基础配置,crypto key generate rsa modulus 2048,执行 crypto key generate rsa modulus 2048 命令,,,,,,
路由器配置/基础配置,ip ssh version 2,配置 SSH,,,,,,
路由器配置/基础配置,username admin privilege 15 secret admin123,创建管理员用户,,,,,,
路由器配置/基础配置,banner motd,Unauthorized access is prohibited!#  # 设置登录标语,,,,,,
路由器配置/基础配置,write memory,或 copy running-config startup-config,,,,,,
路由器配置/基础配置,show running-config,显示当前配置,,,,,,
路由器配置/基础配置,show startup-config,显示保存的配置,,,,,,
路由器配置/基础配置,show version,显示 IOS 版本和硬件信息,,,,,,
路由器配置/基础配置,reload,重新加载系统,,,,,,
路由器配置/基础配置,erase startup-config,恢复出厂设置,,,,,,
路由器配置/基础配置,reload,清除配置并重启,,,,,,
路由器配置/接口配置,interface GigabitEthernet0/0,配置千兆以太网接口,,,,,,
路由器配置/接口配置,description Link to Core Switch,执行 description Link to Core Switch 命令,,,,,,
路由器配置/接口配置,ip address 192.168.1.1 255.255.255.0,创建或添加资源,,,,,,
路由器配置/接口配置,no shutdown,激活接口,,,,,,
路由器配置/接口配置,interface Serial0/0/0,配置串行接口,,,,,,
路由器配置/接口配置,description WAN Link to ISP,执行 description WAN Link to ISP 命令,,,,,,
路由器配置/接口配置,ip address 203.0.113.1 255.255.255.252,创建或添加资源,,,,,,
路由器配置/接口配置,encapsulation ppp,PPP 封装,,,,,,
路由器配置/接口配置,interface GigabitEthernet0/0.10,配置子接口（单臂路由）,,,,,,
路由器配置/接口配置,encapsulation dot1Q 10,执行 encapsulation dot1Q 10 命令,,,,,,
路由器配置/接口配置,ip address 10.1.10.1 255.255.255.0,VLAN 10 网关,,,,,,
路由器配置/接口配置,interface Loopback0,配置环回接口,,,,,,
路由器配置/接口配置,ip address 10.255.255.1 255.255.255.255,管理用环回口,,,,,,
路由器配置/接口配置,interface Port-channel1,配置 EtherChannel,,,,,,
路由器配置/接口配置,channel-group 1 mode active,执行 channel-group 1 mode active 命令,,,,,,
路由器配置/接口配置,ip address 192.168.10.1 255.255.255.0,链路聚合,,,,,,
路由器配置/接口配置,interface Serial0/0/0,设置接口带宽,,,,,,
路由器配置/接口配置,bandwidth 1544,Kbps，用于路由计算,,,,,,
路由器配置/接口配置,interface Serial0/0/0,设置接口延迟,,,,,,
路由器配置/接口配置,delay 20000,微秒,,,,,,
路由器配置/接口配置,interface GigabitEthernet0/0,配置 MTU,,,,,,
路由器配置/接口配置,mtu 1500,最大传输单元,,,,,,
路由器配置/接口配置,interface GigabitEthernet0/1,关闭接口,,,,,,
路由器配置/接口配置,shutdown,禁用接口,,,,,,
路由器配置/接口配置,show ip interface brief,简要显示接口状态,,,,,,
路由器配置/接口配置,show interfaces GigabitEthernet0/0,显示接口统计,,,,,,
路由器配置/接口配置,clear counters GigabitEthernet0/0,重置统计,,,,,,
路由器配置/接口配置,interface Serial0/0/0,配置 IP 无编号,,,,,,
路由器配置/接口配置,ip unnumbered GigabitEthernet0/0,借用其他接口 IP,,,,,,
路由器配置/接口配置,interface GigabitEthernet0/0,辅助地址配置,,,,,,
路由器配置/接口配置,ip address 192.168.1.1 255.255.255.0,创建或添加资源,,,,,,
路由器配置/接口配置,ip address 192.168.2.1 255.255.255.0 secondary,第二个网段,,,,,,
路由器配置/接口配置,interface GigabitEthernet0/0,DHCP 中继,,,,,,
路由器配置/接口配置,ip helper-address 192.168.100.10,转发 DHCP 请求,,,,,,
路由器配置/静态路由,ip route 0.0.0.0 0.0.0.0 203.0.113.2,指向 ISP,,,,,,
路由器配置/静态路由,ip route 10.1.0.0 255.255.0.0 192.168.1.2,指向下一跳,,,,,,
路由器配置/静态路由,ip route 10.2.0.0 255.255.0.0 Serial0/0/0,指定接口,,,,,,
路由器配置/静态路由,ip route 0.0.0.0 0.0.0.0 203.0.113.3 250,AD=250，备用,,,,,,
路由器配置/静态路由,ip route 172.16.0.0 255.255.0.0 Null0,防止路由环路,,,,,,
路由器配置/静态路由,ipv6 route ::/0 2001:db8::1,IPv6 默认路由,,,,,,
路由器配置/静态路由,show ip route,显示 IPv4 路由表,,,,,,
路由器配置/静态路由,show ip route 10.1.0.0,查看特定网络,,,,,,
路由器配置/静态路由,no ip route 10.2.0.0 255.255.0.0 192.168.1.2,删除路由,,,,,,
路由器配置/静态路由,show ipv6 route,显示 IPv6 路由表,,,,,,
路由器配置/RIP 路由协议,router rip,启用 RIP,,,,,,
路由器配置/RIP 路由协议,version 2,执行 version 2 命令,,,,,,
路由器配置/RIP 路由协议,network 192.168.1.0,执行 network 192.168.1.0 命令,,,,,,
路由器配置/RIP 路由协议,network 10.0.0.0,执行 network 10.0.0.0 命令,,,,,,
路由器配置/RIP 路由协议,no auto-summary,RIPv2 配置,,,,,,
路由器配置/RIP 路由协议,router rip,被动接口,,,,,,
路由器配置/RIP 路由协议,passive-interface GigabitEthernet0/0,不发送更新,,,,,,
路由器配置/RIP 路由协议,router rip,默认信息 originate,,,,,,
路由器配置/RIP 路由协议,default-information originate,通告默认路由,,,,,,
路由器配置/RIP 路由协议,router rip,调整 RIP 计时器,,,,,,
路由器配置/RIP 路由协议,timers basic 30 180 180 240,更新/无效/保持/刷新,,,,,,
路由器配置/RIP 路由协议,key chain RIP-KEY,认证配置,,,,,,
路由器配置/RIP 路由协议,key 1,执行 key 1 命令,,,,,,
路由器配置/RIP 路由协议,key-string cisco123,执行 key-string cisco123 命令,,,,,,
路由器配置/RIP 路由协议,router rip,执行 router rip 命令,,,,,,
路由器配置/RIP 路由协议,message-digest-key 1 md5 RIP-KEY,MD5 认证,,,,,,
路由器配置/RIP 路由协议,router rip,偏移列表,,,,,,
路由器配置/RIP 路由协议,offset-list 0 out 5 GigabitEthernet0/0,增加度量值,,,,,,
路由器配置/RIP 路由协议,access-list 1 permit 10.1.0.0 0.0.255.255,分发列表,,,,,,
路由器配置/RIP 路由协议,router rip,执行 router rip 命令,,,,,,
路由器配置/RIP 路由协议,distribute-list 1 in,过滤入站路由,,,,,,
路由器配置/RIP 路由协议,router rip,重分布直连路由,,,,,,
路由器配置/RIP 路由协议,redistribute connected metric 2,注入直连路由,,,,,,
路由器配置/RIP 路由协议,show ip rip database,RIP 路由数据库,,,,,,
路由器配置/RIP 路由协议,debug ip rip,实时查看 RIP 更新,,,,,,
